,my_x,my_y,my_az,enemy_x,enemy_y,u,v,theta,sin_theta,est_enemy_u,est_enemy_v,est_enemy_theta,est_enemy_sin_theta,est_enemy_x,est_enemy_y,diff_enemy_x,diff_enemy_y,diff_enemy_u,diff_enemy_v,diff_enemy_theta,diff_enemy_sin_theta
58,-1.300042,0.000213,0.132564,0.919874,-0.004679,0.010028,2.219899,-0.258826,-0.004517,0.035587,2.155996,-0.945644,-0.016504,0.856030,-0.030386,0.063844,0.025707,0.025559,0.063903,0.686818,0.011987
59,-1.300043,0.000215,0.134598,0.946853,-0.004614,0.010107,2.246878,-0.257737,-0.004498,0.038684,2.155996,-1.027924,-0.017940,0.856038,-0.033404,0.090815,0.028790,0.028577,0.090882,0.770187,0.013442
60,-1.300043,0.000217,0.135822,0.963054,-0.004591,0.010173,2.263079,-0.257548,-0.004495,0.039257,2.187930,-1.027924,-0.017940,0.887974,-0.033853,0.075080,0.029262,0.029084,0.075149,0.770376,0.013445
61,-1.300043,0.000219,0.137404,0.984008,-0.004558,0.010254,2.284033,-0.257236,-0.004490,0.039842,2.220549,-1.027924,-0.017940,0.920595,-0.034298,0.063413,0.029740,0.029588,0.063484,0.770688,0.013450
62,-1.300043,0.000221,0.139155,1.007256,-0.004524,0.010349,2.307281,-0.256985,-0.004485,0.040440,2.253865,-1.027924,-0.017940,0.953913,-0.034745,0.053343,0.030221,0.030091,0.053416,0.770939,0.013455
63,-1.300044,0.000224,0.141905,1.043809,-0.004459,0.010488,2.343834,-0.256381,-0.004475,0.037764,2.287889,-0.945644,-0.016504,0.987932,-0.031874,0.055877,0.027415,0.027276,0.055945,0.689263,0.012029
64,-1.300044,0.000226,0.144336,1.075940,-0.004427,0.010638,2.375965,-0.256541,-0.004477,0.041051,2.287889,-1.027924,-0.017940,0.987942,-0.035061,0.087998,0.030634,0.030413,0.088076,0.771383,0.013463
65,-1.300046,0.000237,0.153297,1.192926,-0.004328,0.011235,2.492951,-0.258214,-0.004507,0.040755,2.469084,-0.945644,-0.016504,1.169139,-0.033912,0.023787,0.029584,0.029520,0.023867,0.687430,0.011997
66,-1.300048,0.000248,0.163679,1.168988,-0.004329,0.011630,2.469013,-0.269891,-0.004710,0.043624,2.431327,-1.027924,-0.017940,1.131394,-0.036430,0.037594,0.032101,0.031994,0.037686,0.758033,0.013230
67,-1.300049,0.000256,0.170680,1.080072,-0.004436,0.011782,2.380096,-0.283629,-0.004950,0.042961,2.394342,-1.027924,-0.017940,1.094410,-0.035572,0.014338,0.031136,0.031179,0.014246,0.744295,0.012990
68,-1.300050,0.000263,0.176947,0.996903,-0.004567,0.011924,2.296927,-0.297428,-0.005191,0.040440,2.253865,-1.027924,-0.017940,0.953929,-0.033216,0.042974,0.028649,0.028516,0.043062,0.730496,0.012749
69,-1.300051,0.000266,0.179251,0.966609,-0.004606,0.011963,2.266634,-0.302403,-0.005278,0.037203,2.253865,-0.945644,-0.016504,0.953919,-0.029885,0.012690,0.025279,0.025240,0.012769,0.643241,0.011226
70,-1.300051,0.000268,0.180649,0.948182,-0.004648,0.012004,2.248206,-0.305932,-0.005339,0.037203,2.253865,-0.945644,-0.016504,0.953920,-0.029828,0.005738,0.025180,0.025199,0.005659,0.639712,0.011165
71,-1.300051,0.000270,0.182613,0.922222,-0.004706,0.012059,2.222246,-0.310907,-0.005426,0.039842,2.220549,-1.027924,-0.017940,0.920613,-0.032495,0.001609,0.027789,0.027783,0.001697,0.717017,0.012514
