,Unnamed: 0,my_x,my_y,my_qx,my_qy,my_qz,my_qw,my_ax,my_ay,my_az,enemy_x,enemy_y,enemy_qx,enemy_qy,enemy_qz,enemy_qw,enemy_ax,enemy_ay,enemy_az,circle_x,circle_y,circle_r,u,v,theta,est_enemy_theta,est_enemy_v,est_enemy_u,est_dx,est_dy,est_enemy_x,est_enemy_y,diff_enemy_u,diff_enemy_v,diff_enemy_theta,diff_enemy_x,diff_enemy_y
852,1294,-0.324010,-0.020751,-0.002299,0.003113,0.592106,0.805851,-0.001077,0.443457,72.613775,0.117582,0.830760,0.002435,0.003013,-0.629962,0.776617,-0.000810,0.443934,-78.095281,412,89,15,0.166975,0.944560,-10.024945,-8.530766,0.938155,-0.140723,0.146037,0.937342,-0.177973,0.916591,0.307698,0.006405,1.494179,0.295555,0.085831
853,1295,-0.324011,-0.020747,-0.002300,0.003113,0.592279,0.805723,-0.001075,0.443458,72.638470,0.111700,0.858765,0.002435,0.003013,-0.630241,0.776390,-0.000979,0.443895,-78.136455,408,94,18,0.153414,0.969458,-8.992324,-8.195152,0.971114,-0.139856,0.156296,0.968604,-0.167715,0.947857,0.293270,0.001656,0.797172,0.279415,0.089092
854,1296,-0.324012,-0.020741,-0.002300,0.003112,0.592506,0.805556,-0.001072,0.443458,72.670764,0.104008,0.895423,0.002429,0.003004,-0.630296,0.776346,-0.000897,0.442664,-78.144556,393,99,15,0.135701,1.002069,-7.712139,-6.936599,1.006094,-0.122403,0.182830,0.996885,-0.141182,0.976144,0.258104,0.004025,0.775540,0.245190,0.080721
855,1297,-0.324013,-0.020737,-0.002301,0.003111,0.592660,0.805444,-0.001070,0.443459,72.692562,0.098811,0.920178,0.002436,0.003014,-0.630271,0.776366,-0.000970,0.444089,-78.140872,379,99,14,0.123758,1.024102,-6.890537,-5.761949,1.006094,-0.101520,0.202388,0.990742,-0.121625,0.970005,0.225278,0.018008,1.128588,0.220436,0.049827
856,1298,-0.324014,-0.020735,-0.002301,0.003111,0.592752,0.805376,-0.001069,0.443459,72.705748,0.095671,0.935110,0.002434,0.003009,-0.630305,0.776338,-0.000731,0.443485,-78.146007,373,103,16,0.116559,1.037395,-6.410692,-5.258528,1.035844,-0.095336,0.216909,1.017355,-0.107105,0.996620,0.211895,0.001551,1.152164,0.202776,0.061510
857,1299,-0.324015,-0.020732,-0.002302,0.003111,0.592872,0.805287,-0.001068,0.443460,72.722848,0.091652,0.954332,0.002438,0.003014,-0.630552,0.776138,-0.000958,0.444191,-78.182389,372,102,5,0.107324,1.054519,-5.811261,-5.174625,1.028243,-0.093118,0.216465,1.009504,-0.107550,0.988772,0.200442,0.026276,0.636636,0.199202,0.034440
858,1300,-0.324015,-0.020729,-0.002302,0.003111,0.592970,0.805215,-0.001067,0.443460,72.736721,0.088388,0.969952,0.002432,0.003007,-0.630592,0.776105,-0.001016,0.443213,-78.188372,363,104,13,0.099827,1.068438,-5.337820,-4.419493,1.043561,-0.080655,0.232669,1.020485,-0.091346,0.999756,0.180482,0.024877,0.918327,0.179734,0.029804
859,1301,-0.324016,-0.020727,-0.002303,0.003110,0.593060,0.805149,-0.001066,0.443460,72.749525,0.085375,0.984371,0.002430,0.003003,-0.630617,0.776085,-0.000896,0.442607,-78.192010,356,111,13,0.092914,1.081291,-4.911306,-3.832168,1.101224,-0.073764,0.256121,1.073563,-0.067895,1.052836,0.166678,0.019933,1.079138,0.153270,0.068465
860,1302,-0.324017,-0.020722,-0.002303,0.003110,0.593260,0.805002,-0.001064,0.443461,72.778008,0.078668,1.016462,0.002436,0.003012,-0.630602,0.776097,-0.001003,0.443851,-78.189808,349,110,12,0.077547,1.109906,-3.996629,-3.244843,1.092562,-0.061942,0.264316,1.061916,-0.059701,1.041194,0.139489,0.017344,0.751786,0.138369,0.024732
861,1303,-0.324018,-0.020719,-0.002304,0.003109,0.593399,0.804899,-0.001062,0.443461,72.797836,0.074008,1.038737,0.002435,0.003006,-0.630665,0.776046,-0.000701,0.443237,-78.199088,337,109,6,0.066893,1.129777,-3.388485,-2.238001,1.084050,-0.042365,0.280131,1.048086,-0.043887,1.027367,0.109258,0.045727,1.150484,0.117895,0.011370
862,1304,-0.324019,-0.020714,-0.002305,0.003109,0.593605,0.804747,-0.001060,0.443462,72.827098,0.067209,1.071394,0.002433,0.003006,-0.630920,0.775839,-0.001018,0.443216,-78.236702,331,116,13,0.051335,1.158932,-2.536246,-1.734579,1.146972,-0.034734,0.305465,1.106094,-0.018554,1.085380,0.086069,0.011960,0.801667,0.085763,0.013986
