,my_x,my_y,enemy_x,enemy_y,circle_x,circle_y,circle_r
1003,0.634055,0.008901,0.002490,1.300336,295,139,11
1004,0.634309,0.008475,0.002492,1.300337,348,140,11
1005,0.634573,0.008082,0.002494,1.300337,373,141,11
1006,0.634955,0.007584,0.002497,1.300338,428,140,11
1007,0.635274,0.007218,0.002499,1.300338,460,139,9
1008,0.635620,0.006864,0.002501,1.300339,517,137,11
1009,0.636095,0.006435,0.002504,1.300339,569,134,13
1010,0.636178,0.006316,0.002506,1.300339,607,133,13
1017,0.631933,0.009227,0.002523,1.300343,608,132,13
1018,0.631618,0.009562,0.002525,1.300343,564,135,12
1019,0.631152,0.010127,0.002528,1.300344,527,136,13
1020,0.630984,0.010355,0.002530,1.300344,483,138,12
1021,0.630827,0.010584,0.002532,1.300345,439,139,11
1022,0.630819,0.010591,0.002535,1.300345,442,139,11
1023,0.630811,0.010598,0.002537,1.300346,442,138,11
1024,0.630803,0.010605,0.002539,1.300346,445,135,8
1025,0.630790,0.010617,0.002543,1.300347,445,140,9
1026,0.630785,0.010622,0.002545,1.300347,443,139,11
1027,0.630777,0.010629,0.002547,1.300348,445,137,8
1028,0.630771,0.010635,0.002549,1.300348,443,139,11
1029,0.630762,0.010643,0.002552,1.300349,443,139,12
1030,0.630751,0.010653,0.002555,1.300349,441,135,8
1031,0.630744,0.010660,0.002557,1.300350,444,139,11
1032,0.630737,0.010667,0.002559,1.300350,445,139,11
1033,0.630726,0.010677,0.002562,1.300351,443,137,11
1034,0.630720,0.010682,0.002564,1.300351,445,135,8
1035,0.630713,0.010688,0.002566,1.300352,445,139,11
1036,0.630704,0.010697,0.002569,1.300352,445,139,11
1037,0.630697,0.010703,0.002571,1.300353,445,139,11
1038,0.630687,0.010712,0.002573,1.300353,446,138,11
1039,0.630680,0.010720,0.002576,1.300354,446,139,11
1040,0.630674,0.010725,0.002577,1.300354,445,138,11
1041,0.630664,0.010734,0.002580,1.300355,446,139,11
1042,0.630657,0.010740,0.002582,1.300355,446,138,11
1043,0.630648,0.010749,0.002585,1.300356,446,140,12
1044,0.630640,0.010756,0.002587,1.300356,445,137,11
1045,0.630631,0.010765,0.002590,1.300357,448,140,9
1046,0.630623,0.010771,0.002592,1.300357,445,140,10
1047,0.630614,0.010780,0.002595,1.300358,446,140,9
1048,0.631729,0.009286,0.002597,1.300358,449,140,10
1049,0.636609,0.003420,0.002599,1.300359,466,136,10
1050,0.647028,-0.007449,0.002602,1.300359,516,138,11
1051,0.661532,-0.021619,0.002604,1.300360,557,134,11
1052,0.676766,-0.036366,0.002606,1.300360,585,136,7
1053,0.694495,-0.052860,0.002608,1.300360,584,135,10
1064,0.934355,-0.271037,0.002635,1.300366,559,153,8
1069,0.981298,-0.313170,0.002646,1.300368,536,159,8
1106,0.536613,0.253066,0.002735,1.300387,586,116,9
1107,0.536322,0.253382,0.002737,1.300387,558,119,10
1122,0.536810,0.253033,0.002773,1.300395,514,120,10
1123,0.537165,0.252723,0.002775,1.300395,583,114,9
1124,0.537532,0.252435,0.002777,1.300396,616,109,13
1146,0.520851,0.255463,0.002829,1.300407,630,112,18
1147,0.520174,0.256175,0.002832,1.300407,577,114,10
1148,0.519902,0.256488,0.002834,1.300408,538,114,14
1149,0.519434,0.257101,0.002837,1.300408,483,115,15
1150,0.519133,0.257554,0.002839,1.300409,449,115,12
1151,0.518856,0.258027,0.002842,1.300409,408,120,13
1152,0.518581,0.258566,0.002844,1.300410,367,120,13
1153,0.518327,0.259150,0.002847,1.300410,309,123,10
1154,0.518117,0.259730,0.002849,1.300411,269,120,10
1155,0.517939,0.260337,0.002852,1.300411,244,115,18
1162,0.517782,0.262921,0.002868,1.300415,238,115,16
1163,0.517967,0.262525,0.002870,1.300415,262,115,10
1164,0.518199,0.262086,0.002873,1.300416,316,121,12
1165,0.518624,0.261375,0.002875,1.300416,339,118,13
1166,0.519037,0.260745,0.002877,1.300417,384,114,12
1167,0.519478,0.260146,0.002879,1.300417,432,120,13
1168,0.520047,0.259495,0.002883,1.300418,478,119,13
1169,0.520072,0.259470,0.002885,1.300418,525,114,6
1170,0.516799,0.262612,0.002887,1.300419,574,116,11
1171,0.509101,0.269577,0.002889,1.300419,594,107,5
1172,0.498000,0.279204,0.002891,1.300420,632,109,12
1173,0.482280,0.292426,0.002894,1.300420,639,111,9
